الاسم,المدينة,المنطقة,الحي,الشارع,صندوق البريد,الرمز الريدي,الجوال,البريد الالكتروني
شقق ليالي السامر للشقق المخدومة,أبها,عسير,حي السد,الامام محمد بن سعود,2773,1367,+966172296616,e.assery@hotmail.com
جـنـان الـشـرق للوحدات السكنية المفروشة,الدمام,الشرقية,المنار,ابوعبيدة عامر بن الجراح,18,,013-8131133,abbubadar@hotmail.com
فخامة الريان,محايل,عسير,المشهد,طريق الملك عبدالله,135,,017-2850999,hkb-425@hotmail.com
شقق لؤلؤة محايل للوحدات السكنية,محايل,عسير,الخالدية,العام,4272,0000,+966555650474,alnaser_con@yahoo.com
فندق الظل الأجنحة الفندقية,العاصمة المقدسة,مكة المكرمة,حي الهنداوية,"UmalQorah, أم القرى",4232,16494,+966125510000,angrybaird2013@gmail.com
فندق سويت إن للشقق الفندقية,الرياض,الرياض,حي السليمانية,الامير مساعد بن العزيز,7194,8396,+966114782288,info@suiteinn.net
قصر نوماس,جازان,جازان,مخطط خامس,الغام,3681,,017-0000000,raowf2012@hotmail.com
شركة رؤى الهجرة للخدمات الفندقية,المدينة المنورة,المدينة المنورة,بني خدره,ابي ايوب الانصاري,7100,7100,+966148312222,gm@ruaahospitality.com
تاج الاتقان للشقق المفروشة,الرياض,الرياض,النسيم الشرقي,احمد بن شبانة,8315,28180,+966011493142,elssraj_egypt@yahoo.com
مؤسسة رفاء الذهبية للوحدات السكنية,المخواة,الباحة,الشارع العام,الملك عبدالله,5275,8730,+966504760395,Rafaahotel@hotmail.com
فندق درة طابة الفندقية,المدينة المنورة,المدينة المنورة,حي بني خدرة,طريق الملك عبدالعزيز,3431,3431,+966501665207,abbas_raffah@hotmail.com
مناسك الروضة,العاصمة المقدسة,مكة المكرمة,حي الروضه,الششه,1234,,014-5404157,enad@hermasgolden.com
جوهرة فاز,العاصمة المقدسة,مكة المكرمة,المسفلة,الهجرة,6096,,014-5302066,mai3156@gmail.com
فندق سجى المدينة الفندقية,المدينة المنورة,المدينة المنورة,حي بضاعة,طريق الملك فيصل - الدائري الاول,2553,41340,+9668208082,Ali.Alzahrany@movenpick.com
مؤسسة ميسان للشقق المفروشة,جازان,جازان,حي السويس,طريق الامير سلطان بن عبدالعزيز,7445,7445,+966501761218,KSHLAN1@HOTMAIL.COM
فندق شاهين روتانا,جدة,مكة المكرمة,الشرفية,طريق المدينة المنورة,7481,112687,+966126188880,abdulrahman.hareri@rotana.com
أجنحة إيلاف,جدة,مكة المكرمة,الحمرا,المعادي,2865,,012-2061999,ajwaa111@hotmail.com
فندق كونكورد الفندقية,المدينة المنورة,المدينة المنورة,حي بضاعة,طريق الملك فيصل - الدائري الاول,2795,42311,+966148207117,gm@alzuhdigroup.com
شقق المنظر للشقق المخدومة,المبرز,الشرقية,حي السلام الأول,السلام الأول,6679,1,+966135990103,bandarabughazi@gmail.com
فندق الريان,المدينة المنورة,المدينة المنورة,بئر الخاتم,طريق قباء,3930,42382,+966148449182,M10BAK@ICLOUD.COM
بيت الجود شقق مخدومة,الرياض,الرياض,الملقا,وادي هجر,4010,4010,+966505291355,dareena2030@gmail.com
فندق برج الجوهرة الفندقية,العاصمة المقدسة,مكة المكرمة,العزيزية,الهداية,0,,014-0525200,Almogrenm@hotmail.com
أجنحة إيلاف,جدة,مكة المكرمة,الرويس,غير مسمى,187,,012-6971463,mohammd@hotmail.com
جمعان الهيفاني للوحدات السكنية المفروشة,الهدا,مكة المكرمة,الريان,الامير عبدالله الفيصل,82,,012-7343410,g.alheifany@hotmail.com
نارين للشقق المفروشة,الطائف,مكة المكرمة,الشهداء,الشهداء الشمالية,10,,012-7347470,alkhaamri26@gmail.com
لؤلؤة البلاد الفندقية,العاصمة المقدسة,مكة المكرمة,العدل,شارع الحج,165,,014-5778599,alsalah.hotel@hotmail.com
فندق قصر اجياد السد اثنان,العاصمة المقدسة,مكة المكرمة,اجياد السد,اجياد السد,11,,014-5779914,fa.abid22@gmai.com
شقق اجنحه موطن أثير الفندقية,الرياض,الرياض,حي المونسية,شارع رقم 329,4102,1541,+966504806807,engdhaifallah.g@gmail.com
دار المسفلة اثنين,العاصمة المقدسة,مكة المكرمة,المسفلة,ابراهيم الخليل,16589,,014-5440466,chowdariest@hotmail.com
فندق لابا دارنا الفندقية,العاصمة المقدسة,مكة المكرمة,حي الجامعة,الامير سلطان,7691,1655,+966125502509,LABAHOTEL65@GMAIL.COM
شقق الدار الفاخر للوحدات السكنية,الطائف,مكة المكرمة,شبراء,ابوبكر الصديق,8868,,012-7340104,mr.wahab21@gmail.com
شقق فن روعة الغروب للشقق المخدومة,الرياض,الرياض,شبرا,الدائري الغربي,4982,12988,+966114404030,Rowah.al.ghorub1@outlook.sa
فندق رماج الفندقية,الطائف,مكة المكرمة,حي جبرة,شارع الجال,7844,717,+966920020069,info@remajhotel.com
شقق قمة الرحاب للوحدات السكنية,الرياض,الرياض,المغرزات,الامير مقرن بن عبد العزيز,3903,123,+966112296034,saadalshaya@hotmail.com
ضوي القمر,جوسمين,الشرقية,طيبة,الملك عبدالعزيز,11,,013-3443050,aaansh1401@hotmail.com
قصر اليمامة,ينبع,المدينة المنورة,القاد,عمر بن الخطاب,5239,,014-6669606,seco811@gmail.com
شركة إدارة الفرص التجارية,جدة,مكة المكرمة,ابحر الجنوبية,أم المؤمنين ميمونة,7414,23734,+966570610977,Khaled@mirada.sa
شركة مساكن ميرا للشقق المخدومة,بلجرشي,الباحة,البركة,الملك خالد,7340,7340,+966177222216,info@dbric.com
شركة مجموعة العييري التجارية المحدودة للوحدات,النعيرية,الشرقية,الفيصليه,خلف شارع الملك فيصل,145,,013-3734133,mohammed.055102013@gmail.com
فندق قصر الاندلس الفندقية,المدينة المنورة,المدينة المنورة,بضاعة,ابي بن عبيدة,154,2461,+966148254361,al-andalus-al-raqi@gmail.com
شقق قصر الذهب للشقق المفروشة,جدة,مكة المكرمة,السلامة,ابن عواد,83,23436,+966599950668,mohsenalhassan1404@gmail.com
مقام الضيافة,عرقة,الرياض,العزيزية,محمدرشيد رضا,7151,,011-4218210,a.kh.441@gmail.com
جبل الوسم,محايل,عسير,القحمة,العام,0,,017-7240052,abdualsayad@gmail.com
شقق المستوى المريح للوحدات السكنية,الدمام,الشرقية,طيبة,عبدالرحمن بن عوف,7485,32271,+966555615250,enezifb@gmail.com
فندق هجرة الروعة,العاصمة المقدسة,مكة المكرمة,المسفلة,الهجرة,0,,014-5353537,prophnet@yahoo.com
شركة الدار البيضاء للخدمات الفندقية والسياحية المحدوده,جدة,مكة المكرمة,حي السلامة,صقر قريش,3889,3889,+966126827771,a.khoja@casablanca-ksa.com
ماريوت للشقق الفندقية فرع شركة دور للضيافة,الرياض,الرياض,الوزارات,المعذر,8333,5500,+966011481666,Bandar.Almuhawies@marriotthotels.com
الفيصلية حسن,النماص,عسير,المطل,العام,12,,017-2852088,hassandafr2130@gmail.com
عابر الفندقية,الرياض,الرياض,الصحافة,شارع انس بن مالك,4811,,011-2173088,hr.dir@boudl.com
فندق سويس انترناشونال رويال الرياض,الرياض,الرياض,الصحافة,الملك فهد,7279,62644,+966112349999,hradmin.royal@swissinternationalhotels.com
نجمة تالين,الرياض,الرياض,حي اليرموك,ابو جعفر المنصور,7781,7718,+966114448071,f_alqahtany@yahoo.com6
شقق جوان الذهبية الاولى للوحدات السكنية,جدة,مكة المكرمة,مدائن الفهد,الفلاح,2824,22347,+966126126090,jwan1313@hotmail.com
شركة مجموعة العييري التجارية المحدودة,الهفوف,الشرقية,الروضة,الخليج,5054,3754,+966135814414,earyhasa@gmail.com
شقق لؤلؤة العرفاء للوحدات السكنية المفروشة,الطائف,مكة المكرمة,العرفاء الغربيه,العام,4312,0000,+966127422778,bebo58517@yahoo.com
الذهبي جولدن توليب,المدينة المنورة,المدينة المنورة,حي بضاعة,ممر مشاه داخل المنطقة المركزية,6919,691,+966148290177,albasha1001@hotmail.com
قصر التوت,الرياض,الرياض,السليمانيه,الامير فهد بن سعد,9,,011-4161691,sa261067sultan@gmail.com
شقق وسام الحوراء للوحدات السكنية,حائل,حائل,حي المنتزه الشرقي,الامير نايف بن عبدالعزيز,2752,21814,+966545677956,fahd7765@gmail.com
فندق الباديه الفندقية,الخبر,الشرقية,الشمالية,الامير سلطان,7391,791,+966138670334,albadiahotel@ymail.com
مؤسسة سفير جدة للوحدات السكنية,جدة,مكة المكرمة,حي النعيم,محمد توفيق العباسي,8502,1,+966122222211,dr.h.w@hotmail.com
شقق الياقوتة الزرقاء للوحدات السكنية المفروشة,الرياض,الرياض,الروابي,عنيزة,13,,011-4910350,YY2020@HOTMAIL.COM
أجنحة البيداء الفندقية,المدينة المنورة,المدينة المنورة,الحرة الشرقية,الأمير عبد المجيد,8480,,014-8315222,ssaadd1972@hotmail.com
مؤسسة سويس بلو للايواء السياحي,نجران,نجران,العريسه,الملك عبدالغزيز,3893,3893,+966175444440,salem6605@hotmail.com
منازل الكرام,العاصمة المقدسة,مكة المكرمة,دحلة محبس الجن,شارع الأمير سلطان,9265,,014-5594999,info@dmakers-sa.com
قصر المنار,المدينة المنورة,المدينة المنورة,المصانع,سفيان الثورى,4261309,,014-8269017,manar.almadinah@yahoo.com
بريق الشلال,حقل,تبوك,السهبان,الكورنيش,251,,014-0140000,hugyfjd@gmail.com
فندق راديسون مطار الرياض,الرياض,الرياض,مطار الملك خالد,محمد بن فرج,13342,13342,+966115902000,info@amsahospitality.com
فندق البدر والفجر,العاصمة المقدسة,مكة المكرمة,الجامعة,خلف توبتن,1211,,014-5501263,sultanalwaqdani@gmail.com
شقق ركن الجوزاء للشقق المخدومة,جازان,جازان,الشاطئ,العام,8663,3629,+966173110000,bander.2012@hotmail.com
أجنحة البيداء,المدينة المنورة,المدينة المنورة,العزيزية,طريق الجامعات,271,,014-8315222,ssaadd1972@hotmail.com
مؤسسة وجد وروز للوحدات السكنية,جدة,مكة المكرمة,حي المروة,حمزه البركاني,9025,34905,+966126564000,wajdrose-suites@hotmail.com
شقق قداح علي القحطاني للوحدات السكنية,الرياض,الرياض,اشبيلية,الخزنة,7021,13225,+966112484441,riyadh_park@hotmail.com
شقق ابوبندر للوحدات السكنية,الرس,القصيم,حي الملك فهد,القدس,4776,127,+966505136565,a0505136565@gmail.com
أجنحة جازان الملكية,جازان,جازان,الشاطئ,الكورنيش,4586,,017-3222240,hr@jazaninn.com
هبة الهجرة ثلاثة,العاصمة المقدسة,مكة المكرمة,المسفلة,الهجرة,0,,014-5396409,jon_aid@hotmail.com
شقق الحزم الذهبي للشقق المفروشة,الحائط,حائل,المخطط,محمد بن عبدالوهاب,11,57396,+9661666666,abdullah5749@gmail.com
تبوك رمادا للوحدات السكنية,تبوك,تبوك,العليا,الأمير سلطان,7126,,014-4215559,e2thamer@hotmail.com
منازل الماسة للوحدات السكنية المفروشة,النيصية,حائل,الزهرة,بيروت,15,,016-5362193,mam201005@outlook.com
مءسسه يوسف سالم للشقق الفندقيه,قيا,مكة المكرمة,قيا,العام,5893,21982,+966123333333,ylox81@gmail.com
منتجع قرية البحر,القنفذة,مكة المكرمة,الكورنيش الجنوبي,شارع الملك فهد,2854,7788,+966177332222,eng.az@seavillage.co
فندق إتقان الضيافة  بست وسترن,الدمام,الشرقية,الأول,الكورنيش طريق الملك عبد اللهبن عبد العزيز,7,,013-8935353,nase@etqaanksa.com
شقق مجدين للوحدات السكنية المفروشة,الرياض,الرياض,حي اليرموك,راجيه,7846,8752,+966112496281,malkhudair@gmail.com
مؤسسة قصر الروز للوحدات السكنية,الرياض,الرياض,المغرزات,الأمير مقرن بن عبدالعزيز,3638,,011-2188626,almoj4@hotmail.com
شقق دانة الشمال للوحدات السكنية,القريات,الجوف,حي الشفا,شارع عمر بن الخطاب,4425,121,+966146411651,danhalshamal123@hotmail.com
مؤسسة نورس فرسان للوحدات السكنية المفروشة,فرسان,جازان,الجنوبي,العام,6986,00,+9666547223037,mar1445@hotmail.com
شركة فندق الخبر انتركونتننتال شركة الشخص الواحد,الخبر,الشرقية,البندرية,ابن البسام الأندلسي,3029,2729,+966138452888,Majed.alhassan@ihg.com
شركة نور المسك للخدمات الفندقيه شركة شخص واحد,العاصمة المقدسة,مكة المكرمة,الغزة,الرشيدي,7423,24236,+9661225700664,walmisk1@gmail.com
شقق دار الشرق للشقق المخدومة,الدمام,الشرقية,حي احد,طريق الملك فهد بن عبد العزيز,4396,68456,+966137274042,alshehri799@icloud.com
شقق روز السفارات للشقق المخدومة,الرياض,الرياض,حي ظهرة لبن,ظلم,8440,8761,+966553235565,safarat.palace@gmail.com
اجنحة الجوري للوحدات السكنية المفروشة,الخفجي,الشرقية,الياسمين,طريق الملك عبدالله,17,,013-7660073,YAHYA122455@GMAIL.COM
جراند بلازا,الرياض,الرياض,الملز,طريق الملك عبدالعزيز,0,,011-4702211,hazem-ramadan@windowslive.com
مؤسسة حلم الارجان للوحدات السكنية المفروشة,الرياض,الرياض,حي قرطبة,دمياط الجديده,3535,11411,+966114611129,Alargandream@hotmail.com
مؤسسة شقق أجنحة أرائك للوحدات السكنية المفروشة,الرس,القصيم,بهجة,شارع الشنانة,7440,,016-3393332,t-a-g460@hotmail.com
ركن شموخ للوحدات السكنية المفروشة,صبيا,جازان,القحلة,الثلاثين,579,,017-3271339,alhammami11@gmail.com
اصول,جدة,مكة المكرمة,الصفاء,شكرين,4,,012-6282801,asdwq@hotmail.com
مؤسسة الريحانة الخضراء للشقق المفروشة,جدة,مكة المكرمة,السلامه,شارع قريش,3081,23437,+966126620144,raihana.plaza2@gmail.com
فندق المنار الفضي,المدينة المنورة,المدينة المنورة,حي المصانع,شارع الملك فهد,7227,7227,+966148390888,manar.almadinah@yahoo.com
سويت للوحدات السكينة المروشة,جدة,مكة المكرمة,السلمانية,شارع عبدالقدوس الانصاري,8288,,012-6299333,ahz.1122@hotmail.com
فندق مثمرة جرول,العاصمة المقدسة,مكة المكرمة,جرول,حسان بن ثابت,2354,,014-5663650,ajnihat@al-mashaer.com
درة الأصيل الحديث,العاصمة المقدسة,مكة المكرمة,العزيزية,العام,0,,014-5505416,omarjaad@hotmail.com
ليالي النماص للشقق المفروشة,النماص,عسير,السلام,العام,12,,017-2830914,mazn2130@GMAIL.COM
فندق ساف الجنوب للشقق الفندقية,بلجرشي,الباحة,خياصة,الملك عبدالعزيز,4914,2565,+966563666679,saf12hotel@gmail.com
فندق قصر البحر الأحمر,جدة,مكة المكرمة,البلد,الملك عبدالعزيز,1,,012-6428555,hr@redseapalace.com
مساكن اليمامة,الخبر,الشرقية,العليا,العليا,300,,013-8325631,ahmedmorgan2015@gmail.com
شركة العيسائي للضيافة المحدودة,جدة,مكة المكرمة,الاندلس,عاشور,9170,3035,+966122616665,a.sulami@ahc-alesayi.com
فندق كرم الحجاز الفندقية,المدينة المنورة,المدينة المنورة,المناخة,سعيد بن زيد القرشي,6755,6755,+9668196966,officekaram.alhejaz@gmail.com
مؤسسة لامبرت لتشغيل الشقق المخدومه,جدة,مكة المكرمة,حي المروة,الحيدري,8021,3993,+966122121414,LAMBERT-JED@HOTMAIL.COM
سيجما هاوس,عرعر,الحدود الشمالية,الجوهرة,الأمير ماجد بن عبد العزيز,4,7182,+966146627733,sigmaapp1@gmail.com
مؤسسة بيتي الفاخر للوحدات السكنية,الافلاج,الرياض,الدوائر,طريق الملك فهد بن عبدالعزيز,3632,437,+966116823420,omar_671@hotmail.com
فندق العودة المباركة,العاصمة المقدسة,مكة المكرمة,المسفله,ابراهيم الخليل,0,,014-5446669,naif-raffah@hotmail.com
أماسي بيشة,بيشة,عسير,الموسى,الامير سلطان,3715,,017-6227470,abcdef2001@hotmail.com
مسارات المملكة ثلاثة,العاصمة المقدسة,مكة المكرمة,المسفلة,شارع ابراهيم الخليل,0,,014-5422912,abobaker967@hotmail.com
مؤسسة أركان السائر للشقق المفروشة,حائل,حائل,نقرة قفار,الملك سلمان,2897,22356,+966165356356,Kh0506307099@gmail.com
فندق بيتش إن للشقق الفندقية,القنفذة,مكة المكرمة,الأزهار,الملك فهد,5555,360,+966551662663,yahya111asiri@gmail.com
نجوم الأصيل,العاصمة المقدسة,مكة المكرمة,العزيزية,العام,0,,014-5503002,omarjaad@hotmail.com
صبا للشقق المفروشه,تبوك,تبوك,العليا 2,الثلاثين,110,,014-4432350,dg10dg20@gmail.com
فندق ميره الروضة,العاصمة المقدسة,مكة المكرمة,حي العزيزية,شارع المسجد الحرام,8341,8344,+966125584405,MHM.MIRA@HOTMAIL.COM
فندق درة التقوى,العاصمة المقدسة,مكة المكرمة,المسفلة,التقوى,0,,014-5773023,alsalahhotelest@hotmail.com
شركة الفوز أخوان المتحدة,العاصمة المقدسة,مكة المكرمة,اجياد,الهجره,24231,12692,‭٠٥٦ ٤٥٧ ٧٧٨٧‬,abdulwhab.a.k11@gmail.com
منتجع شاطيء الغروب للترفية,الخبر,الشرقية,حي التحلية,أ2,6590,272,+966138902000,saleh@sunset-beach.com.sa
الظل للوحدات السكنية المفروشة,عرقة,الرياض,الرحمانية,طريق الملك عبدالله بن عبدالعزيز,236,,011-4806116,alzal_alzal@yahoo.com
ود,جدة,مكة المكرمة,الحمراء,المنصورة,17,,012-6607666,goodbander@gmail.com
شقق وحدات الرياض للشقق المفروشة,العاصمة المقدسة,مكة المكرمة,حي العزيزية,صدقي,8883,6770,+966125566730,adnan_abed@outlook.sa
ارتو للوحدات السكنية,الرياض,الرياض,الملك فيصل,الفضول,8556,,011-4559024,Arto.ksa2@gmail.com
شركة الحياة بلس الفندقية (شركة شخص واحد),المدينة المنورة,المدينة المنورة,بضاعة,طريق ابوبكر الصديق فرعي,111,42321,+966141231242,hamada655@gmail.com
فندق انتور,جازان,جازان,حي الشاطئ,طريق الرياض,9272,1818,+966173288886,intourhotels0@gmail.com
هلا,الخفجي,الشرقية,العزيزية,الجنادرية,19,,013-7675777,k-s-a-23@hotmail.com
الكازا,بيشة,عسير,الموسى,الملك سعود,7178,,017-6228282,a6242@hotmail.com
شقق اجنحة اشبيلية للوحدات السكنية,الخبر,الشرقية,الشبيلي,الرقعي,627,34628,+966138020444,ASHBILIAH.SUITES08@GMAIL.COM
مؤسسة دار النخبه للوحدات السكنية المفروشة,النعيرية,الشرقية,الربيع,طريق ابوحدريه حفر الباطن,6813,,013-3730220,of-aianejaz@hotmail.com
شركة تلال اشبيلية للشقق المخدومة,الخبر,الشرقية,حي العقربية,3,3476,2792,+966138985283,a.plaza.company@gmail.com
فندق توحة الوحدة للايواء السياحي,العاصمة المقدسة,مكة المكرمة,أجياد,الهجلة,6328,00281,+966125363699,t.alwehda.hotel@gmail.com
سيلين هوم للشقق الفندقية,الرياض,الرياض,حي الملقا,شارع العمره,49,,011-2277007,celinhomehotel@gmail.com
شقق المضيف الاول للوحدات السكنية,تبوك,تبوك,القادسية,عمر بن الخطاب,7126,5568,+966144237770,aboannass@hotmail.com
بارك هاوس,الرياض,الرياض,الورود,مساعد العنقري,6586,,011-2733331,amr@parkhouseksa.com
درة الفلاح للوحدات السكنية المفروشة,المدينة المنورة,المدينة المنورة,حي قربان,Abu Taybah,8445,42311,+966555308529,mhlawi@hotmail.com
شقق مصايف الخبر للوحدات السكنيةالمفروشة,الخبر,الشرقية,حي العليا,معدان بن اوس,6604,2,+966138267000,massayef@gmail.com
فندق وردة قريش الفندقية,العاصمة المقدسة,مكة المكرمة,حي التيسير,المنصور,7596,24231,+966125473172,quraish_group1986@yahoo.com
نـخـلـة صـحـاري للوحدات السكنية المفروشة,النعيرية,الشرقية,الفيصليه,الامير منصور بن عبدالعزيز,197,,013-3732222,desertpalm2015@hotmail.com
فندق الازهر النزهة الفندقية,العاصمة المقدسة,مكة المكرمة,حي الضيافة,طريق مكة جدة القديم,3210,24221,+966125455777,alnahet@hotmail.com
فندق نزل النسيم,العاصمة المقدسة,مكة المكرمة,النسيم,شارع عباس بن عبدالمطلب,0,,014-0000000,noor.9222@hotmail.com
قصر البالود للوحدات السكنية1,جدة,مكة المكرمة,النعيم,احمد بن عسيب,31,,012-6120028,amnd77@gmail.com
برج غادة,خميس مشيط,عسير,النخيل,الامير سلطان,1134,,017-2520408,mosali70@hotmail.com
المساء الجميل للوحدات السكنية المفروشة,الدمام,الشرقية,طيبة 248ج,ابوبكر الصديق,0,,013-8111211,hmmq90@gmail.com
فندق هلا طيبة الفندقية,المدينة المنورة,المدينة المنورة,حي بني معاوية,فلسطين,7049,4507,+966555302806,sa01sa10sa@gmail.com
شركة فندق موفنبيك الخبر,الخبر,الشرقية,اليرموك,الأمير تركي,3711,,013-8984999,Hussain.Almowail@moevenpick.com
كنزي الجوار,العاصمة المقدسة,مكة المكرمة,الروضه,الروضة العام,768,,014-5446777,kasperlife@outlook.sa
شركة تولان للشقق المخدومة مساهمة مقفلة,الرياض,الرياض,حي المعيزلة,محضة,2997,106234,+966114941659,abdetawab@towlan.com
شقق الراحه للوحدات السكنية,خميس مشيط,عسير,الموسى,الأمير سلطان,256,9494,+966172230007,m.akt.999@gmail.com
سما الاندلس,الرياض,الرياض,حي الملك فيصل,شارع سعود الكبير,2470,,011-2530022,das80001@hotmail.com
فندق زهرة السعد اربعة الفندقية,العاصمة المقدسة,مكة المكرمة,العزيزيه,طريق المسجد الحرام,653,21955,+966125589303,iss966@hotmail.com
شقق رواسي رند للوحدات السكنية المفروشة,عنيزة,القصيم,هلاله,الملك عبدالعزيز,7522,56219,+966163639000,Rnd.rawasi@gmail.com
شقق تاج الرفاهية للشقق المخدومة,الرياض,الرياض,الخليج,طريق الشيج جابر الصباح,2,4401,+966112311984,RFHIA1@GMAIL.COM
غراس,المزاحمية,الرياض,غرناطة,الملك فيصل,152,,011-2710231,almetrekco@gmail.com
الليل الهادي,خميس مشيط,عسير,شباعة,ابو بكر الصديق الستين,1111,,017-2220538,mshm10@hotmail.com
شركة افضل المواسم الفندقية,المدينة المنورة,المدينة المنورة,حي العريض,طريق الأمير محمد بن عبدالعزيز,6218,6218,+966148340888,info@whitediamondhotel.net
شركة رحاب الاخير للخدمات الفندقيه,العاصمة المقدسة,مكة المكرمة,حي الهجلة,شارع الهجرة,6318,735,+966125457114,azwz_m@hotmail.com
فندق راديسون بلو بريدة,بريدة,القصيم,الريان,الامام البخاري,8792,1722,+9661638555554,ribdi@yahoo.com
شقق دار ريدا للشقق المخدومة,الدوادمي,الرياض,النهضة,الامير سطام بن عبدالعزيز,7171,160,+966116420555,abuanas999@gmail.com
فرع شركة سعيد عثمان العمودي المحدود فندق داون تاون,جدة,مكة المكرمة,الهنداوية,زهرة اللوتس,7937,,012-6493333,O.sob@icloud.com
شقق الحزم للشقق المخدومة,الرس,القصيم,الشهداء,الملك فهد,4776,127,+966013339039,alhazm6565@gmail.com
شقق فيلا مسك للوحدات السكنية,الدمام,الشرقية,حي الشاطئ الشرقي,5د,8426,0,+966138306236,Fsuwaighvm@gmail.com
شقق سرايا الخبر للوحدات السكنية,الخبر,الشرقية,العقربية,1,3222,2727,+966138952692,doss.hr@aldossarygroup.com
المحرق,الهفوف,الشرقية,الصيهد,الرياض,343,,013-5754441,aldossry-888@hotmail.com
شركة الفجر البديع اربعة للخدمات الفندقيه,العاصمة المقدسة,مكة المكرمة,أجياد,شارع عام,6245,24,+966125334482,fahadmuta@gmail.com
شركة الفجر البديع اثنين للخدمات الفندقيه,العاصمة المقدسة,مكة المكرمة,حي اجياد,شارع عام - اجياد المصافي,4577,4578,+966125334482,fahadmuta@gmail.com
فندق الفياضه,العاصمة المقدسة,مكة المكرمة,حي الهجلة,الهجرة,6128,21955,+966555541308,yusifal426@gmail.com
فندق غروب المشاعر,العاصمة المقدسة,مكة المكرمة,العزيزيه,شارع العزيزيه,6,,014-5582111,gam.hotel@hotmmail.com
شقق رونزا للوحدات السكنية,تبوك,تبوك,حي العليا,طريق الملك فهد,7662,112,+966144260859,saeed15151@hotmail.com
فندق الشهداء,العاصمة المقدسة,مكة المكرمة,بير بليلة,اجياد العام,6415,,014-5706900,abeyari@akmc-alshohadahotel.com
تجون,الرياض,الرياض,السعادة,الكتاب,0,,011-4545454,sa.sall@hotmail.com
الشام الاقليمية اثنان,المدينة المنورة,المدينة المنورة,المناخه,المنطقة المركزية الغربية,0,,014-8187775,drem1978@hotmail.com
فندق طيبه الضيافه,المدينة المنورة,المدينة المنورة,النقا,سعد بن ابي وقاص,0,,014-8192322,almadani-1121@hotmail.com
فندق زهرة المسيال,العاصمة المقدسة,مكة المكرمة,حي الهجلة,شارع الهجرة,6222,24269,+9661125505999,c.zahra001ha@gmail.com
الرست ان,جازان,جازان,المطار,الملك عبدالعزيز,4424,,017-3291111,h.alharethi@hotmail.com
برج نوران للوحدات السكنية المفروشة,الجبيل,الشرقية,طيبة,أبو بكر الصديق,177,,013-3443050,aaansh1401@hotmail.com
غراس المتحدة,القويعية,الرياض,حي الربوة,طريق الملك سلمان,899,,011-2710231,almetrekco@gmail.com
مؤسسة روناما للوحدات السكنيه المفروشه,المجاردة,عسير,الخليج,بدر,2492,43,+966172814122,0505763634sa@gmail.com
شركة سما المسك الفندقية شركة شخص واحد,العاصمة المقدسة,مكة المكرمة,الجميزة,الرشيدي,7559,24236,+966125700664,walmisk1@gmail.com
شقق ركن تالا للشقق المفروشة,بريدة,القصيم,حي الريان,شارع البخاري,8135,5144,+966163853888,a063839888@hotmail.com
شقق شمس الشاطئ للشقق المفروشة,بريدة,القصيم,النهضة,عثمان بن عفان,47733,52388,+966163811222,mansour@albedah.com
فندق الركائز الفندقية,العاصمة المقدسة,مكة المكرمة,الروضه,"prens majed, الامير ماجد",6845,99,+966555506158,alrkaez.hotel@gmail.com
فندق صحاري جدة,جدة,مكة المكرمة,البلد,الذهب,0,,012-6485157,dhenawi@hotmail.com
داري للوحدات السكنية المفروشة,شرورة,نجران,السوق,شارع الملك عبدالله,1,,017-5325444,rrrr66666@hotmail.com
فندق بدر العزيزية الفندقية,العاصمة المقدسة,مكة المكرمة,العزيزية الجنوبية,طريق الأمير سلطان,7438,7438,+966125320221,shaker511@live.com
شقق روز نجران الجديدة للوحدات السكنية,نجران,نجران,ال منجم,الملك عبدالعزيز,2020,6065,+966175293222,goldensweet@yahoo.com
راحة بكة,العاصمة المقدسة,مكة المكرمة,المنصور,المنصور,0,,014-5396409,jon_aid@hotmail.com
مؤسسة بيوتات المدينة للوحدات السكنية,المدينة المنورة,المدينة المنورة,الراية,الدائري الثاني,21,,014-8152666,alaauddin_khattab@yahoo.com
فندق لؤلؤة الشريعة الفندقية,العاصمة المقدسة,مكة المكرمة,حي التقوى,شارع العام,22774,4100,+966125330000,ahmad@ashariah.com
شقق اضواء نسيم الخبر,الخبر,الشرقية,حي الثقبة,الملك خالد,4201,20626,+966138655133,tarki3793@hotmail.com
فندق اتقان الضيافة (جولدن توليب ) الفندقية,الدمام,الشرقية,الزهور,الثامن عشر,7838,,013-8527777,gm@goldentulipche.com
منازل السفراء,المضيلف,جدة,المظيلف,العام,0,,012-2614551,ashaikhi@hotmail.com
فندق ارجوان المدينة الفندقية,المدينة المنورة,المدينة المنورة,حي النقا,الملك فيصل بن عبد العزيز,2,2455,+966148400059,moliky93@gmail.com
فندق قصر زاخر للشقق الفندقية,الرياض,الرياض,ام سليم,الامام عبدالعزيز بن محمد,2,151444,+966011288880,a151444@hotmail.com
فندق ثروات نبع مكة,العاصمة المقدسة,مكة المكرمة,حي اجياد,العدل,4763,51060,+966541841840,hassenen4@gmail.com
لؤلؤة الفيحاء,الرياض,الرياض,المنصورة,إسلام أباد,755,,011-2958589,naserbinali@hotmail.com
شركة الضيافة الراقية الفندقية,العاصمة المقدسة,مكة المكرمة,المسفلة,الهجرة,1,13815,+966554791113,qasim@alrajhiaviation.com
